"CountryCode","SeriesCode","DESCRIPTION",
"AGO","SM.POP.NETM","Data sources : United Nations World Population Prospects",
"AGO","SM.POP.TOTL","Estimates are derived from data on foreign-born population. Number of refugees reported by the UN Refugee Agency (UNHCR) are added to the migrant stock estimates. ",
"AGO","SP.DYN.AMRT.FE","Data source : United Nations World Population Prospects",
"AGO","SP.DYN.AMRT.MA","Data source : United Nations World Population Prospects",
"AGO","SP.DYN.CBRT.IN","Data sources : United Nations World Population Prospects",
"AGO","SP.DYN.CDRT.IN","Data sources : United Nations World Population Prospects",
"AGO","SP.DYN.LE00.FE.IN","Data sources : United Nations World Population Prospects",
"AGO","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"AGO","SP.DYN.LE00.MA.IN","Data sources : United Nations World Population Prospects",
"AGO","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"AGO","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"AGO","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"ALB","DT.DOD.DECT.CD","Long-term public and publicly guaranteed debt data for 2017 are based on reports provided by the country. Long-term private nonguaranteed and short-term debt data for 2017 are sourced by Central Bank of Albania.",
"ALB","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)",
"ALB","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"ALB","EG.FEC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"ALB","IT.CEL.SETS","Albanian Telecom Enterprise. From 2003: Ministry of Transport and Telecommunications. Minister of State for the Reforms and the Relation with the Parliament",
"ALB","IT.CEL.SETS.P2","Albanian Telecom Enterprise. From 2003: Ministry of Transport and Telecommunications. Minister of State for the Reforms and the Relation with the Parliament",
"ALB","IT.MLT.MAIN","Albanian Telecom Enterprise. From 2003: Ministry of Transport and Telecommunications. Minister of State for the Reforms and the Relation with the Parliament",
"ALB","IT.MLT.MAIN.P2","Albanian Telecom Enterprise. From 2003: Ministry of Transport and Telecommunications. Minister of State for the Reforms and the Relation with the Parliament",
"ALB","IT.NET.BBND","Albanian Telecom Enterprise. From 2003: Ministry of Transport and Telecommunications. Minister of State for the Reforms and the Relation with the Parliament",
"ALB","IT.NET.BBND.P2","Albanian Telecom Enterprise. From 2003: Ministry of Transport and Telecommunications. Minister of State for the Reforms and the Relation with the Parliament",
"ALB","IT.NET.USER.ZS","Albanian Telecom Enterprise. From 2003: Ministry of Transport and Telecommunications. Minister of State for the Reforms and the Relation with the Parliament",
"ALB","SM.POP.NETM","Data sources : United Nations World Population Prospects",
"ALB","SM.POP.TOTL","Estimates are derived from data on foreign population. Foreign population is people who are citizens of a country other the country in which they reside. ",
"ALB","SP.DYN.AMRT.FE","Data source : United Nations World Population Prospects",
"ALB","SP.DYN.AMRT.MA","Data source : United Nations World Population Prospects",
"ALB","SP.DYN.CBRT.IN","Data sources : United Nations World Population Prospects",
"ALB","SP.DYN.CDRT.IN","Data sources : United Nations World Population Prospects",
"ALB","SP.DYN.LE00.FE.IN","Data sources : United Nations World Population Prospects",
"ALB","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"ALB","SP.DYN.LE00.MA.IN","Data sources : United Nations World Population Prospects",
"ALB","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"ALB","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"ALB","SP.POP.TOTL","Data sources : Institute of Statistics, Eurostat",
"AND","BM.KLT.DINV.CD.WD","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"AND","SM.POP.TOTL","Estimates are derived from data on foreign population. Foreign population is people who are citizens of a country other the country in which they reside. ",
"AND","SP.DYN.CBRT.IN","Data sources : Eurostat",
"AND","SP.DYN.CDRT.IN","Data sources : Eurostat",
"AND","SP.DYN.TFRT.IN","Data sources : Eurostat",
"AND","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"AND","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"ARE","BM.KLT.DINV.CD.WD","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"ARE","BX.KLT.DINV.CD.WD","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"ARE","CM.MKT.TRNR","Method of calculation: Total domestic value of share trading of Abu Dhabi Serurities Market and Dubai Financial Market divided by total domestic market capitalization of the two exchanges.",
"ARE","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)",
"ARE","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"ARE","EG.FEC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"ARE","IT.CEL.SETS","Emirates Telecommunications Corporation (ETISALAT). From 2006: Telecommunications Regulatory Authority.",
"ARE","IT.CEL.SETS.P2","Emirates Telecommunications Corporation (ETISALAT). From 2006: Telecommunications Regulatory Authority.",
"ARE","IT.MLT.MAIN","Emirates Telecommunications Corporation (ETISALAT). From 2006: Telecommunications Regulatory Authority.",
"ARE","IT.MLT.MAIN.P2","Emirates Telecommunications Corporation (ETISALAT). From 2006: Telecommunications Regulatory Authority.",
"ARE","IT.NET.BBND","Emirates Telecommunications Corporation (ETISALAT). From 2006: Telecommunications Regulatory Authority.",
"ARE","IT.NET.BBND.P2","Emirates Telecommunications Corporation (ETISALAT). From 2006: Telecommunications Regulatory Authority.",
